timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1654227016072,296,https://www.demoblaze.com/index.html-1,200,OK,Performence Test Thread 1-5,bin,true,,5483,522,9,9,https://www.demoblaze.com/favicon.ico,293,0,0
1654227016073,628,https://www.demoblaze.com/index.html-2,200,OK,Performence Test Thread 1-5,text,true,,151281,560,9,9,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,434,0,133
1654227016073,484,https://www.demoblaze.com/index.html-3,200,OK,Performence Test Thread 1-5,text,true,,40312,554,9,9,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,414,0,118
1654227016074,419,https://www.demoblaze.com/index.html-4,200,OK,Performence Test Thread 1-5,text,true,,1287,528,9,9,https://www.demoblaze.com/css/latofonts.css,419,0,112
1654227016074,224,https://www.demoblaze.com/index.html-5,200,OK,Performence Test Thread 1-5,text,true,,1570,528,9,9,https://www.demoblaze.com/css/latostyle.css,224,0,132
1654227016075,215,https://www.demoblaze.com/index.html-6,200,OK,Performence Test Thread 1-5,bin,true,,4263,517,9,9,https://www.demoblaze.com/bm.png,210,0,119
1654227016290,361,https://www.demoblaze.com/index.html-7,200,OK,Performence Test Thread 1-5,bin,true,,27679,523,9,9,https://www.demoblaze.com/Samsung1.jpg,301,0,0
1654227016299,129,https://www.demoblaze.com/index.html-8,200,OK,Performence Test Thread 1-5,bin,true,,34140,521,9,9,https://www.demoblaze.com/nexus1.jpg,88,0,0
1654227016368,119,https://www.demoblaze.com/index.html-9,200,OK,Performence Test Thread 1-5,bin,true,,34899,522,9,9,https://www.demoblaze.com/iphone1.jpg,86,0,0
1654227016428,327,https://www.demoblaze.com/index.html-10,200,OK,Performence Test Thread 1-5,text,true,,36417,549,9,9,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,305,0,0
1654227016487,359,https://www.demoblaze.com/index.html-11,200,OK,Performence Test Thread 1-5,text,true,,160355,550,9,9,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,301,0,0
